bucket	status	name	dispatch	target	file	line	note
other	needs-classification	byte-to-string	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	718	registered through Phase-1 stub list
other	needs-classification	byte-to-string	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	311	matched in stubs::call
other	needs-classification	cancel-debug-on-entry	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	221	matched in stubs::call
other	needs-classification	char-displayable-p	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	77	matched in stubs::call
other	needs-classification	char-equal	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	717	registered through Phase-1 stub list
other	needs-classification	char-equal	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	302	matched in stubs::call
other	needs-classification	char-resolve-modifiers	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	719	registered through Phase-1 stub list
other	needs-classification	char-resolve-modifiers	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	312	matched in stubs::call
other	needs-classification	char-width	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	113	matched in stubs::call
other	needs-classification	clear-visited-file-modtime	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	closurep	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	299	matched in stubs::call
other	needs-classification	command-remapping	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	72	matched in stubs::call
other	needs-classification	composition-get-gstring	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	78	matched in stubs::call
other	needs-classification	copy-tramp-file-name	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	722	registered through Phase-1 stub list
other	needs-classification	copy-tramp-file-name	stub-module	argument-derived	crates/elisp/src/primitives/core/stubs.rs	315	matched in stubs::call
other	needs-classification	current-column	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	160	matched in stubs::call
other	needs-classification	current-indentation	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	160	matched in stubs::call
other	needs-classification	current-kill	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	current-time-zone	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	723	registered through Phase-1 stub list
other	needs-classification	current-time-zone	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	318	matched in stubs::call
other	needs-classification	dbus-available-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	14	matched in stubs::call
other	needs-classification	debug	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	221	matched in stubs::call
other	needs-classification	debug-on-entry	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	221	matched in stubs::call
other	needs-classification	default-file-modes	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	707	registered through Phase-1 stub list
other	needs-classification	default-file-modes	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	272	matched in stubs::call
other	needs-classification	down-list	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	167	matched in stubs::call
other	needs-classification	error-type-p	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	716	registered through Phase-1 stub list
other	needs-classification	error-type-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	299	matched in stubs::call
other	needs-classification	event-basic-type	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	event-click-count	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	event-convert-list	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	event-end	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	event-line-count	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	event-modifiers	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	event-start	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	expand-file-name	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	49	matched in stubs::call
other	needs-classification	file-acl	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	708	registered through Phase-1 stub list
other	needs-classification	file-acl	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	273	matched in stubs::call
other	needs-classification	file-locked-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	file-name-all-completions	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	703	registered through Phase-1 stub list
other	needs-classification	file-name-all-completions	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	270	matched in stubs::call
other	needs-classification	file-name-completion	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	704	registered through Phase-1 stub list
other	needs-classification	file-name-completion	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	270	matched in stubs::call
other	needs-classification	file-selinux-context	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	709	registered through Phase-1 stub list
other	needs-classification	file-selinux-context	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	273	matched in stubs::call
other	needs-classification	file-truename	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	49	matched in stubs::call
other	needs-classification	finalizer	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	345	matched in stubs::call
other	needs-classification	finalizer	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	345	matched in stubs::call
other	needs-classification	find-composition	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	78	matched in stubs::call
other	needs-classification	find-composition-internal	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	78	matched in stubs::call
other	needs-classification	format-network-address	stub-module	constant-string	crates/elisp/src/primitives/core/stubs.rs	375	matched in stubs::call
other	needs-classification	format-seconds	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	740	registered through Phase-1 stub list
other	needs-classification	format-seconds	stub-module	constant-string	crates/elisp/src/primitives/core/stubs.rs	376	matched in stubs::call
other	needs-classification	func-arity	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	726	registered through Phase-1 stub list
other	needs-classification	func-arity	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	328	matched in stubs::call
other	needs-classification	funcall-interactively	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	725	registered through Phase-1 stub list
other	needs-classification	funcall-interactively	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	325	matched in stubs::call
